P19113,Histidine decarboxylase,HDC,32109,X54297,DCHS_HUMAN,4E1O,HDC,HGNC:4855,DB00114,1
P19113,Histidine decarboxylase,HDC,32109,X54297,DCHS_HUMAN,4E1O,HDC,HGNC:4855,DB00117,2
Q9UI32,"Glutaminase liver isoform, mitochondrial",GLS2,6650606,AF110330,GLSL_HUMAN,4BQM,GLS2,HGNC:29570,DB00142,3
P00488,Coagulation factor XIII A chain,F13A1,182309,M22001,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY,F13A1,HGNC:3531,DB01839,4
P00488,Coagulation factor XIII A chain,F13A1,182309,M22001,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY,F13A1,HGNC:3531,DB11300,5
P00488,Coagulation factor XIII A chain,F13A1,182309,M22001,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY,F13A1,HGNC:3531,DB11311,6
P00488,Coagulation factor XIII A chain,F13A1,182309,M22001,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY,F13A1,HGNC:3531,DB11571,7
P00488,Coagulation factor XIII A chain,F13A1,182309,M22001,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY,F13A1,HGNC:3531,DB11572,8
P00488,Coagulation factor XIII A chain,F13A1,182309,M22001,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY,F13A1,HGNC:3531,DB13151,9
P35228,"Nitric oxide synthase, inducible",NOS2,292242,L09210,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS,NOS2A,HGNC:7873,DB00125,10
P35228,"Nitric oxide synthase, inducible",NOS2,292242,L09210,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS,NOS2A,HGNC:7873,DB00155,11
P35228,"Nitric oxide synthase, inducible",NOS2,292242,L09210,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS,NOS2A,HGNC:7873,DB01110,12
P35228,"Nitric oxide synthase, inducible",NOS2,292242,L09210,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS,NOS2A,HGNC:7873,DB01234,13
P35228,"Nitric oxide synthase, inducible",NOS2,292242,L09210,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS,NOS2A,HGNC:7873,DB08814,14
P35228,"Nitric oxide synthase, inducible",NOS2,292242,L09210,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS,NOS2A,HGNC:7873,DB09237,15
P35228,"Nitric oxide synthase, inducible",NOS2,292242,L09210,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS,NOS2A,HGNC:7873,DB11327,16
P37059,Estradiol 17-beta-dehydrogenase 2,HSD17B2,306462,L11708,DHB2_HUMAN,,HSD17B2,HGNC:5211,DB00157,17
P37059,Estradiol 17-beta-dehydrogenase 2,HSD17B2,306462,L11708,DHB2_HUMAN,,HSD17B2,HGNC:5211,DB00783,18
P37059,Estradiol 17-beta-dehydrogenase 2,HSD17B2,306462,L11708,DHB2_HUMAN,,HSD17B2,HGNC:5211,DB13952,19
P37059,Estradiol 17-beta-dehydrogenase 2,HSD17B2,306462,L11708,DHB2_HUMAN,,HSD17B2,HGNC:5211,DB13953,20
